Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
cindu,"
'''cindu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an oak of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cindu''' — oak. 
:'''i xu da cindu bu'u le cmana''' — ''Are there oak trees on the mountain?''
:Related words: {tricu}",,,,,x1 jdari mudri tricu x2 noi jutsi la'o jutygunma Quercus jutygunma,cindu,yes,Living. Plants (non-edible by default),,,,,x<sub>1</sub>,is an oak of species ,x<sub>2</sub>,,,,,,,,,oak,,,,,{tricu},entity,taxon,,,,,,,,"x1 is an oak, a type of tree of species/strain x2 ||| (cf. tricu)",2
cinfo,"
'''cinfo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a lion of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cinfo''' — lion. 
:'''i mi pu se spaji lo ka viska lo cinfo''' — ''I was surprised to see a lion.''
:Related words: {bramlatu}, {mlatu}",,,,,x1 bramlatu x2 noi jutsi la'o jutsi Panthera leo jutsi gi'e se krasi lo friko jo'u lo snanu xadzo gi'e se rebla se jipno be lo krebakfu .i lo nakni cu se ne'okre lo barda,cinfo,yes,Living. Mammals,,,,,x<sub>1</sub>,is a lion of species ,x<sub>2</sub>,,,,,,,,,lion,,,,,"{bramlatu}, {mlatu}",entity,taxon,,,,,,,,x1 is a lion/[lioness] of species/breed x2 ||| (cf. mlatu),2
cinje,"
'''cinje''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a wrinkle in  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cinje''' — wrinkle. '''lo se cinje''' — wrinkled. 
:'''i da cinje lo bukpu''' — ''There are creases in the cloth.''
:'''i gau ko ri xutla''' — ''Smooth out it.''
:Related words: {korcu}, {polje}, {boxfo}, {boxna}",,,,,x1 cmalu skuro ja tolku'o x2,cinje,yes,,General. Shapes,,,,x<sub>1</sub>,is a wrinkle in ,x<sub>2</sub>,,,,,,,,,wrinkle,wrinkled,,,,"{korcu}, {polje}, {boxfo}, {boxna}",entity,entity,,,,,,,,"x1 is a wrinkle/crease/fold [shape/form] in x2 ||| (cf. korcu, polje, boxfo, boxna)",2
cinki,"
'''cinki''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an arthropod of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cinki''' — arthropod. 
:'''i lo insekto cu cinki''' — ''Insects are arthropods.''
:Related words: {insekto}, {civla}, {danlu}, {blato}, {ankabuta}, {manti}, {sfani}, {toldi}, {bifce}",,,,,,cinki,yes,Living. Arthropods,,,,,x<sub>1</sub>,is an arthropod of species ,x<sub>2</sub>,,,,,,,,,arthropod,,,,,"{insekto}, {civla}, {danlu}, {blato}, {ankabuta}, {manti}, {sfani}, {toldi}, {bifce}",entity,taxon,,,,,,,,"x1 is an insect/arthropod of species x2; [bug/beetle] ||| (cf. civla, danlu, jalra, jukni, manti, sfani, toldi, bifce)",2
cinla,"
'''cinla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is thin in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>''  ...
:'''lo cinla''' — thin. 
:'''i le ninmu cu cinla lo ka se tuple''' — ''The woman has thin legs.''
:Comment: the third largest dimension. {tordu}, {jarki} and {cinla} specify the three dimensions of objects.
:Related words: {rotsu}, {jarki}, {tordu}, {cmalu}, {caxno}, {plana}, {jarki}",,,,,x1 cmalu x2 noi cmarai cimde x1 ku'o x3,cinla,yes,Measures. Size & weight (subjective),,,,,x<sub>1</sub>,is thin in length/width etc. ,x<sub>2</sub>,,,,,,,,"the third largest dimension. {tordu}, {jarki} and {cinla} specify the three dimensions of objects.",thin,,,,,"{rotsu}, {jarki}, {tordu}, {cmalu}, {caxno}, {plana}, {jarki}",entity,property of x1,,,,,,, ...,"x1 is thin in direction/dimension x2 by standard x3; [relatively short in smallest dimension] ||| (cf. rotsu, jarki, tordu, cmalu, caxno, plana, jarki)",3
cinmo,"
'''cinmo''' — ''x<sub>1</sub><sub>(entity)</sub>''  feels emotion  ''x<sub>2</sub><sub>(property of x1)</sub>''  about  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cinmo''' — emotional (live being). '''lo se cinmo''' — emotion, feeling (impression). 
:'''i mi cinmo lo ka gleki vau lo nu mi'o tavla zu'ai bau la lojban''' — ''I feel happy that we talk in Lojban.''
:Related words: {cumla}, {jilra}, {nelci}, {xendo}, {ckeji}, {cortu}, {jgira}, {kecti}, {kufra}, {marvele}, {prami}, {steba}, {zungi}, {badri}, {burna}, {gleki}",,,,,x1 lifri x2 noi se frati lo menli be x1 x3,cinmo,yes,,Psycho. Emotion,,,,x<sub>1</sub>,feels emotion ,x<sub>2</sub>,about ,x<sub>3</sub>,,,,,,,emotional (live being),"emotion, feeling (impression)",,,,"{cumla}, {jilra}, {nelci}, {xendo}, {ckeji}, {cortu}, {jgira}, {kecti}, {kufra}, {marvele}, {prami}, {steba}, {zungi}, {badri}, {burna}, {gleki}",entity,property of x1,entity,,,,,,,"x1 feels emotion x2 (ka) about x3 ||| [also mood/humor (= nuncni)]; (cf. cmavo list ci'o, cumla, jilra, nelci, xendo, ckeji, cortu, jgira, kecti, kufra, manci, prami, steba, zungi, badri, burna, gleki)",3
cinri,"
'''cinri''' — ''x<sub>1</sub><sub>(clause)</sub>''  interests observer  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cinri''' — interesting. '''lo se cinri''' — interested. 
:'''i ma se cinri lo nu ca ma kau le fetsi co'a speni''' — ''Who cares when she gets married?''
:'''i mi se cinri lo nu xu kau sarcu fa lo nu mi cusku fi la alis fe lo se du'u mi pu zi zukte ma kau''' — ''I wonder if I should tell Alice what I just did.''
:Related words: {zdile}, {kucli}, {marvele}, {kurji}",,,,,x1 ralte lo ka se jundi ja se kucli x2,cinri,yes,,Psycho. Attitude,,,,x<sub>1</sub>,interests observer ,x<sub>2</sub>,,,,,,,,,interesting,interested,,,,"{zdile}, {kucli}, {marvele}, {kurji}",clause,entity,,,,interest (be of interest to) [to],,,,"x1 (abstraction) interests/is interesting to x2; x2 is interested in x1 ||| [use x1 tu'a for non-specific interest in an object; interested in (= selci'i)]; (cf. zdile, kucli, manci, kurji)",2
cinta,"
'''cinta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some paint of substance  ''x<sub>2</sub><sub>(entity)</sub>''  in a base of  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cinta''' — paint (coloring substance). '''lo se cinta''' — pigment of a paint. '''lo te cinta''' — paint base. 
:'''i mi pu punji lo cinta be lo kliti bei lo sovda le bitmu''' — ''I put an oil paint (with clay as a pigment) on to the wall.''
:Comment: {lo} {te} {cinta} (paint base) is the part of the paint that is not a {lo} {se} {cinta} (pigment).
:Related words: {pixra}, {skari}",,,,,,cinta,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is some paint of substance ,x<sub>2</sub>,in a base of ,x<sub>3</sub>,,,,,,{lo} {te} {cinta} (paint base) is the part of the paint that is not a {lo} {se} {cinta} (pigment).,paint (coloring substance),pigment of a paint,paint base,,,"{pixra}, {skari}",entity,entity,entity,,,,,,,"x1 [material] is a paint of pigment/active substance x2, in a base of x3 ||| (cf. pixra, skari)",3
cintura,"
'''cintura''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a waist of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cintura''' — waist (of body). 
:'''i lo cintura be do cu klani ma lo ka clani''' — ''What is the length of your waist?''
:Related words: {xadni}, {cutne}, {midju}, {cinla}, {rotsu}",,,,,,cintura,yes,,,,,,x<sub>1</sub>,is a waist of body ,x<sub>2</sub>,,,,,,,,,waist (of body),,,,,"{xadni}, {cutne}, {midju}, {cinla}, {rotsu}",entity,entity,,,,,,,,,
cinza,"
'''cinza''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pincer, pair of chopsticks, tongs, pliers for doing  ''x<sub>2</sub><sub>(property of x3)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cinza''' — tongs. 
:'''i ko jgari lo cinza be lo nu jukpa bei lo glare''' — ''Take chopsticks for cooking hot food.''
:Related words: {tutci}",,,,,,cinza,yes,Socio. Tools,,,,,x<sub>1</sub>,"is a pincer, pair of chopsticks, tongs, pliers for doing ",x<sub>2</sub>,to ,x<sub>3</sub>,,,,,,,tongs,,,,,{tutci},entity,property of x3,entity,,,,,,,x1 is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x2 to pinch x3 ||| (cf. tutci),3
cipni,"
'''cipni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bird of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cipni''' — bird. 
:'''i le pa cipni ca'o vofli''' — ''The bird is flying.''
:Related words: {datka}, {gunse}, {jipci}, {nalci}, {pimlu}, {vofli}, {xruki}, {danlu}",,,,,x1 glaselblu je selna'i bogda'u x2 .i lo xadni be x1 cu se gacri lo pimlu .i lo cifnu cu jbena ne'i lo se calku sovda,cipni,yes,Living. Birds,,,,,x<sub>1</sub>,is a bird of species ,x<sub>2</sub>,,,,,,,,,bird,,,,,"{datka}, {gunse}, {jipci}, {nalci}, {pimlu}, {vofli}, {xruki}, {danlu}",entity,taxon,,,,,,,,"x1 is a bird/avian/fowl of species x2 ||| (cf. datka, gunse, jipci, nalci, pimlu, vofli, xruki, danlu)",2
cipra,"
'''cipra''' — ''x<sub>1</sub><sub>(clause)</sub>''  is a test, act of examination, study of  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo cipra''' — study, test (act of examination). '''lo se cipra''' — tested. 
:'''i lo nu catlu lo kanla be do cu cipra lo nu do stace se la'u li xo kau''' — ''To look into your eyes is a test of your sincerity.''
:'''i mi pu gasnu lo cipra be tu'a le karce''' — ''I tested the car.''
:'''i ba zi ku mi jai se cipra''' — ''I will have a test soon.''
:Related words: {ciksi}, {troci}, {jarco}, {pajni}, {saske}",-x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass).,_+x1 (process/event) is a test for/proof of property/state x2 in subject x3.,"_-Also examination, proxy measure, validation; (a set in x3 must be completely specified). See also {ciksi}, {troci}, {jarco}, {pajni}, {saske}.","_+Also examination, proxy measure, validation. See also {ciksi}, {troci}, {jarco}, {pajni}, {saske}.",x1 tadji lo nu pajni lo du'u xu kau x2 se ckaji x3,cipra,yes,Psycho. Mind/Knowledge,,,,,x<sub>1</sub>,"is a test, act of examination, study of ",x<sub>2</sub>,,,,,,,,,"study, test (act of examination)",tested,,,,"{ciksi}, {troci}, {jarco}, {pajni}, {saske}",clause,entity,,,,,,, ...,"x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass) ||| [also examination, proxy measure, validation; (a set in x3 must be completely specified)]; (cf. ciksi, troci, jarco, pajni, saske)",3
cirko,"
'''cirko''' — ''x<sub>1</sub><sub>(entity)</sub>''  loses  ''x<sub>2</sub><sub>(property of x1)</sub>''  at  ''x<sub>3</sub><sub>(entity, property of x1)</sub>'' 
:'''lo cirko''' — loser. '''lo se cirko''' — lost, not in possesion. 
:'''i mi cirko lo ka kakne lo ka sazri lo xirma vau lo ka xabju lo tcadu''' — ''I lost my ability to ride a horse while living in the city.''
:Related words: {facki}, {ralte}, {sisku}, {claxu}, {jinga}, {pleji}, {canja}, {sfasa}, {dapma}, {binra}, {mipri}",,,"_-x2 may be a specific object, a commodity (mass), an event (rare for cirko), or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= {po'ecri}, posyselcri for unambiguous {semantics}). See also {facki}, {ralte}, {sisku}, {claxu}, {jinga}, {pleji}, {canja}, {sfasa}, {dapma}, {binra}, {mipri}.","_+x2 may be a specific object, a commodity, an event (rare for cirko), or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= {po'ecri}, posyselcri for unambiguous {semantics}). See also {facki}, {ralte}, {sisku}, {claxu}, {jinga}, {pleji}, {canja}, {sfasa}, {dapma}, {binra}, {mipri}.",x1 fliba lo ka ralte x2 kei bu'u x3 .i x1 binxo lo claxu be x2 bu'u x3,cirko,yes,,Action. Possesion interactions,,,,x<sub>1</sub>,loses ,x<sub>2</sub>,at ,x<sub>3</sub>,,,,,,,loser,"lost, not in possesion",,,,"{facki}, {ralte}, {sisku}, {claxu}, {jinga}, {pleji}, {canja}, {sfasa}, {dapma}, {binra}, {mipri}",entity,property of x1,"entity, property of x1",,,lose [to],,,,"x1 loses person/thing x2 at/near x3; x1 loses property/feature x2 in conditions/situation x3 ||| [x2 may be a specific object, a commodity (mass), an event (rare for cirko), or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= po'ecri, posyselcri for unambiguous semantics)]; (cf. facki, ralte, sisku, claxu, jinga, pleji, canja, sfasa, dapma, binra, mipri)",3
cirla,"
'''cirla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some cheese ...
:'''lo cirla''' — cheese. 
:'''i xu do djica tu'a lo cirla''' — ''Would you like cheese?''
:Related words: {ladru}",,,,,x1 sligu ja pesxu cidja gi'e se krasi lo ladru be x2,cirla,yes,Living. Food. Prepared,Universe. Materials & substances,,,,x<sub>1</sub>,is some cheese,,,,,,,,,,cheese,,,,,{ladru},entity,,,,,,,, ...,x1 is a quantity of/contains cheese/curd from source x2 ||| (cf. ladru),2
ciska,"
'''ciska''' — ''x<sub>1</sub><sub>(entity)</sub>''  writes  ''x<sub>2</sub><sub>(text)</sub>''  on medium  ''x<sub>3</sub><sub>(entity)</sub>''  ...
:'''lo ciska''' — writer. '''lo se ciska''' — written text. '''lo te ciska''' — writing medium. 
:'''i mi ba ciska lu coi munje li'u lo pelji''' — ''I will write &quot;Hello, world!&quot; on the paper.''
:Comment: for 'author' or specific authorial works use {finti}.
:Related words: {papri}, {penbi}, {pinsi}, {tcidu}, {xatra}, {pixra}, {prina}, {finti}, {barna}, {pinka}",,,,,x1 gasnu lo nu x2 noi na'o se smuni ja sinxa cu barna ja ba'armo'a x3  ,ciska,yes,Socio. Literature & writing,,,TCIDU,,x<sub>1</sub>,writes ,x<sub>2</sub>,on medium ,x<sub>3</sub>,,,,,,for 'author' or specific authorial works use {finti}.,writer,written text,writing medium,,,"{papri}, {penbi}, {pinsi}, {tcidu}, {xatra}, {pixra}, {prina}, {finti}, {barna}, {pinka}",entity,text,entity,,,write [to],,, ...,"x1 inscribes/writes x2 on display/storage medium x3 with writing implement x4; x1 is a scribe ||| [also x3 writing surface]; (cf. papri, penbi, pinsi, tcidu, xatra, pixra, prina, finti for 'author' or specific authorial works, barna, pinka)",4
cisma,"
'''cisma''' — ''x<sub>1</sub><sub>(entity)</sub>''  smiles
:'''i se ja'e ma do cisma''' — ''Why are you smiling?''
:Related words: {xajmi}, {cmila}, {frumu}",,,,,x1 se flira lo sinxa be lo nu x1 gleki ja zanru ja se zdile bei fau lo nu lafti lo jipno be lo moklu,cisma,yes,,Psycho. Emotion,,,,x<sub>1</sub>,smiles,,,,,,,,,,,,,,,"{xajmi}, {cmila}, {frumu}",entity,,,,,smile [to],,,,"x1 smiles/grins (facial expression) ||| [smile/grin at something (= cismyfra)]; (cf. xajmi, cmila, frumu)",
ciste,"
'''ciste''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a system with structure  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo ciste''' — system. '''lo se ciste''' — structure of a system. 
:'''i lo kibro cu ciste lo se tcana be lo skami poi se pi'o ce'u lo prenu cu jikca''' — ''The internet is a system with computer nodes, using which people communicate.''
:Related words: {ci'e}, {cmima}, {girzu}, {gunma}, {stura}, {tadji}, {munje}, {farvi}, {ganzu}, {judri}, {julne}, {klesi}, {morna}, {tcana}",-x1 (mass) is a system interrelated by structure x2 among components x3 (set) displaying x4 (ka).,_+x1 (mass) is a system interrelated by structure x2 among components x3 displaying x4 (ka).,"_-x1 (or x3) is synergistic in x4; also network; x2 also relations, rules; x3 also elements (set completely specified); x4 systemic functions/properties. See also cmavo list {ci'e}, {cmima}, {girzu}, {gunma}, {stura}, {tadji}, {munje}, {farvi}, {ganzu}, {judri}, {julne}, {klesi}, {morna}, {tcana}.","_+x1 (or x3) is synergistic in x4; also network; x2 also relations, rules; x3 also elements (completely specified); x4 systemic functions/properties. See also cmavo list {ci'e}, {cmima}, {girzu}, {gunma}, {stura}, {tadji}, {munje}, {farvi}, {ganzu}, {judri}, {julne}, {klesi}, {morna}, {tcana}.",x1 stura x2 gi'e ja'e bo ckaji x3,ciste,yes,,General. Organization,has full-set/member place,,,x<sub>1</sub>,is a system with structure ,x<sub>2</sub>,,,,,,,,,system,structure of a system,,,,"{ci'e}, {cmima}, {girzu}, {gunma}, {stura}, {tadji}, {munje}, {farvi}, {ganzu}, {judri}, {julne}, {klesi}, {morna}, {tcana}",entity,entity,,,,,,, ...,"x1 (mass) system interrelated by structure x2 among components x3 (set) displaying x4 (ka) ||| [x1 (or x3) is synergistic in x4; also network; x2 also relations, rules; x3 also elements (set completely specified); x4 systemic functions/properties] (cf. cmavo list ci'e, cmima, girzu, gunma, stura, tadji, munje, farvi, ganzu, judri, julne, klesi, morna, tcana)",4
citka,"
'''citka''' — ''x<sub>1</sub><sub>(entity)</sub>''  eats  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo citka''' — eater. '''lo se citka''' — eaten. 
:'''i mi mo'u citka pa badna e re mango''' — ''I've eaten a banana and two mangoes.''
:Related words: {cidja}, {pinxe}, {tunlo}, {xagji}, {xaksu}, {batci}, {gusta}, {kabri}",,,,,x1 setca x2 noi cidja x1 ku'o lo moklu be x1 gi'e marxa je tunlo x2,citka,yes,Living. Food (generalised),,,CITKA,,x<sub>1</sub>,eats ,x<sub>2</sub>,,,,,,,,,eater,eaten,,,,"{cidja}, {pinxe}, {tunlo}, {xagji}, {xaksu}, {batci}, {gusta}, {kabri}",entity,entity,,,,eat [to],,,,"x1 eats/ingests/consumes (transitive verb) x2 ||| (cf. cidja, pinxe, tunlo, xagji, xaksu, batci, gusta, kabri)",2
citno,"
'''citno''' — ''x<sub>1</sub><sub>(entity)</sub>''  is young in that it has  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo citno''' — young. 
:'''i le nixli cu citno lo ka lifri lo xo kau mei''' — ''The girl is young in how much she experienced.''
:Related words: {laldo}, {cnino}, {slabu}, {verba}",,,"_-Also age (= {nilnalci'o}); (adjective:) x1 is junior. See also {laldo}, {cnino}, {slabu}, {verba}.","_+Also age (= {nilnalci'o}); x1 is junior. See also {laldo}, {cnino}, {slabu}, {verba}.",x1 tordu lo ka ma kau temci lo nu ce'u jbena kei lo cabna .i x1 to'e laldo,citno,yes,General. Growth,Development & age,,,,x<sub>1</sub>,is young in that it has ,x<sub>2</sub>,,,,,,,,,young,,,,,"{laldo}, {cnino}, {slabu}, {verba}",entity,property of x1,,,,,,,,"x1 is young/youthful [relatively short in elapsed duration] by standard x2 ||| [also age (= nilnalci'o); (adjective:) x1 is junior]; (cf. cnino, slabu, verba)",2
citri,"
'''citri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a history of  ''x<sub>2</sub><sub>(entity)</sub>''  according to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo citri''' — history. '''lo se citri''' — having a history. 
:'''i mi tadni lo citri be le kagni bei lo cnino lanli''' — ''I'm studying the history of the company according to new analysts.''
:Related words: {muzga}, {purci}",,,,,x1 lisri lo gunma be lo pu fasnu poi srana x2 ku'o x3,citri,yes,,Actions. Event contours,,,,x<sub>1</sub>,is a history of ,x<sub>2</sub>,according to ,x<sub>3</sub>,,,,,,,history,having a history,,,,"{muzga}, {purci}",entity,entity,entity,,,,,,,"x1 is a history of x2 according to x3 (person)/from point-of-view x3 ||| [also historic/historical (= cirtermo'i, cirvai)]; (cf. muzga)",3
prulamdei,"
'''prulamdei''' — ''x<sub>1</sub><sub>(clause)</sub>''  is yesterday, the day before the day  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo prulamdei''' — yesterday, the day before. 
:'''i pu carvi ca lo prulamdei''' — ''It rained yesterday.''
:'''i mi pu penmi le nakni ca lo prulamdei be lo nu le nakni cu cliva''' — ''I met him the day before he left.''
:Related words: {djedi}, {cabdei}, {bavlamdei}, {cedra}, {ditcu}",,,,,x1 djefau gi'e se fanmo lo nu lo cabdei cu cfari,prulamdei,yes,Measures. Seasons,Splicing time-interval,,,,x<sub>1</sub>,"is yesterday, the day before the day ",x<sub>2</sub>,,,,,,,,,"yesterday, the day before",,,,,"{djedi}, {cabdei}, {bavlamdei}, {cedra}, {ditcu}",clause,clause,,,,,,,,,
cabdei,"
'''cabdei''' — ''x<sub>1</sub><sub>(clause)</sub>''  is today, the same day as  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo cabdei''' — today. 
:'''i lo cabdei cu detri li jy dy ze''' — ''Today is Sunday.''
:Related words: {djedi}, {prulamdei}, {bavlamdei}, {cedra}, {ditcu}",,,,,x1 djefau lo zva'ati gi'e ca'abna,cabdei,yes,Measures. Seasons,Splicing time-interval,,,,x<sub>1</sub>,"is today, the same day as ",x<sub>2</sub>,,,,,,,,,today,,,,,"{djedi}, {prulamdei}, {bavlamdei}, {cedra}, {ditcu}",clause,clause,,,,,,,,,
