particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
,---,po'u,,@@@that is the same as ...@@@ (noun follows). Use {poi du} instead,,assigns variable to selbri,,,,ge'u,GOI,,,,that is the same as ...,,,restrictive appositive phrase marker: which is the same thing as,,---,po'u,,@@@that is the same as ...@@@ (noun follows). Use {poi du} instead,,assigns variable to selbri,,,,ge'u,GOI,,,,that is the same as ...,,,,,,
gu'a,"
'''gu'a''' <small>[forethought conjunction for tanru]</small> — @@@and/or@@@
:'''i le nu litru ba gu'a clani gi ckape''' — ''The journey will be dangerous or long.''",gu'a,forethought conjunction for tanru,@@@and/or@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,and/or,,,logical connective: tanru-internal forethought or (with gi),gu'a,"
'''gu'a''' <small>[forethought conjunction for tanru]</small> — @@@and/or@@@
:'''i le mi'u nu litru ba gu'a clani gi ckape''' — ''The journey will be dangerous or long.''",gu'a,forethought conjunction for tanru,@@@and/or@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,and/or,,,,,,
gu'e,"
'''gu'e''' <small>[forethought conjunction for tanru]</small> — @@@and@@@
:'''i ca pa djedi mi ba gu'e badri gi gleki da''' — ''One day there will be something so that I will be both sad and happy about.''",gu'e,forethought conjunction for tanru,@@@and@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,and,,,logical connective: tanru-internal forethought and (with gi),gu'e,"
'''gu'e''' <small>[forethought conjunction for tanru]</small> — @@@and@@@
:'''i ca pa djedi mi ba gu'e badri gi gleki da''' — ''One day there will be something so that I will be both sad and happy about.''",gu'e,forethought conjunction for tanru,@@@and@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,and,,,,,,
gu'i,"
'''gu'i''' <small>[forethought conjunction for tanru]</small> — question
:'''i lu do gu'i citka gi pinxe li'u lu ge li'u''' — ''&quot;Do you eat or drink?&quot; &quot;Both.&quot;''",gu'i,forethought conjunction for tanru,question,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,,,,logical connective: tanru-internal forethought question (with gi),gu'i,"
'''gu'i''' <small>[forethought conjunction for tanru]</small> — question
:'''i lu do gu'i citka gi pinxe li'u lu ge li'u''' — ''&quot;Do you eat or drink?&quot; &quot;Both.&quot;''",gu'i,forethought conjunction for tanru,question,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,,,,,,,
gu'o,"
'''gu'o''' <small>[forethought conjunction for tanru]</small> — @@@both or none@@@
:'''i ai mi te vecnu pa gu'o cnino gi kargu karce''' — ''I'm going to buy an expensive car if and only if it is new.''",gu'o,forethought conjunction for tanru,@@@both or none@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,both or none,,,logical connective: tanru-internal forethought biconditional/iff/if-and-only-if (with gi),gu'o,"
'''gu'o''' <small>[forethought conjunction for tanru]</small> — @@@both or none@@@
:'''i ai mi te vecnu pa gu'o cnino gi kargu karce''' — ''I'm going to buy an expensive car if and only if it is new.''",gu'o,forethought conjunction for tanru,@@@both or none@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,both or none,,,,,,
gu'u,"
'''gu'u''' <small>[forethought conjunction for tanru]</small> — @@@whether or not@@@
:'''i ai mi te vecnu pa gu'u kargu gi cnino karce''' — ''I'm going to buy a new car whether or not it is expensive.''",gu'u,forethought conjunction for tanru,@@@whether or not@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,whether or not,,,logical connective: tanru-internal forethought whether-or-not (with gi),gu'u,"
'''gu'u''' <small>[forethought conjunction for tanru]</small> — @@@whether or not@@@
:'''i ai mi te vecnu pa gu'u kargu gi cnino karce''' — ''I'm going to buy a new car whether or not it is expensive.''",gu'u,forethought conjunction for tanru,@@@whether or not@@@,,forethought conjunction for tanru,,,,,GUhA,needed,connective,,whether or not,,,,,,
i,"
'''i''' — separates sentences
:'''i da vi fasnu i je lo nu da mo kau cu na klina''' — ''Something is happening here, and what it is isn't exactly clear.''",i,,separates sentences,,,,,,,I,yes,,text structuring,,,,sentence link/continuation, continuing sentences on same topic, normally elided for new speakers,i,"
'''i''' — separates sentences
:'''i da vi fasnu i je le nu da mo kau cu na klina''' — ''Something is happening here, and what it is isn't exactly clear.''",i,,separates sentences,,,,,,,I,yes,,text structuring,,,,,
ja,"
'''ja''' <small>[conjunction]</small> — @@@and/or@@@
:'''i ba'a le tanxe cu barda ja tilju''' — ''I expect the box to be big or heavy (at least one of the two characteristics).''
:Comment: means @@@at least one of the two@@@ (of constructs connected using {ja}).",ja,conjunction,@@@and/or@@@,means @@@at least one of the two@@@ (of constructs connected using {ja}),universal connective,,,,,JA,yes,connective,,and/or,,,logical connective: tanru-internal afterthought or,ja,"
'''ja''' <small>[conjunction]</small> — @@@and/or@@@
:'''i ba'a le mi'u tanxe cu barda ja tilju''' — ''I expect the box to be big or heavy (at least one of the two characteristics).''
:Comment: means @@@at least one of the two@@@ (of constructs connected using {ja}).",ja,conjunction,@@@and/or@@@,means @@@at least one of the two@@@ (of constructs connected using {ja}),universal connective,,,,,JA,yes,connective,,and/or,,,,,,
je,"
'''je''' <small>[conjunction]</small> — @@@and@@@
:'''i do pu je ca je ba pendo mi''' — ''You were, are and will be my friend.''",je,conjunction,@@@and@@@,,universal connective,,,,,JA,yes,connective,,and,,,logical connective: tanru-internal afterthought and,je,"
'''je''' <small>[conjunction]</small> — @@@and@@@
:'''i do pu je ca je ba pendo mi''' — ''You were, are and will be my friend.''",je,conjunction,@@@and@@@,,universal connective,,,,,JA,yes,connective,,and,,,,,,
je'i,"
'''je'i''' <small>[conjunction]</small> — question
:'''i do ba'o je'i pu'o citka''' — ''Have you eaten yet or are you only about to eat?''",je'i,conjunction,question,,universal connective,,,,,JA,yes,connective,,,,,logical connective: tanru-internal afterthought conn question,je'i,"
'''je'i''' <small>[conjunction]</small> — question
:'''i do ba'o je'i pu'o citka''' — ''Have you eaten yet or are you only about to eat?''",je'i,conjunction,question,,universal connective,,,,,JA,yes,connective,,,,,,,,
jo,"
'''jo''' <small>[conjunction]</small> — @@@both or none@@@
:'''i ai mi te vecnu lo karce poi kargu jo cnino''' — ''I'm going to buy an expensive car if and only if it is new (or not to buy any cars if they don't satisfy this condition).''",jo,conjunction,@@@both or none@@@,,universal connective,,,,,JA,yes,connective,,both or none,,,logical connective: tanru-internal afterthought biconditional/iff/if-and-only-if,jo,"
'''jo''' <small>[conjunction]</small> — @@@both or none@@@
:'''i ai mi te vecnu le karce poi kargu jo cnino''' — ''I'm going to buy an expensive car if and only if it is new (or not to buy any cars if they don't satisfy this condition).''",jo,conjunction,@@@both or none@@@,,universal connective,,,,,JA,yes,connective,,both or none,,,,,,
jo nai,"
'''jo nai''' <small>[conjunction]</small> — @@@either ... or ...@@@
:'''i mi tavla i jo nai do tavla''' — ''Either I talk or you talk.''",jo nai,conjunction,@@@either ... or ...@@@,,universal connective,,,,,JA,yes,connective,,either ... or ...,,,,jo nai,"
'''jo nai''' <small>[conjunction]</small> — @@@either ... or ...@@@
:'''i mi tavla i jo nai do tavla''' — ''Either I talk or you talk.''",jo nai,conjunction,@@@either ... or ...@@@,,universal connective,,,,,JA,yes,connective,,either ... or ...,,,,,,
ju,"
'''ju''' <small>[conjunction]</small> — @@@whether or not@@@
:'''i ei zukte i ju le nanmu cu klama''' — ''Let's do it whether or not he comes.''",ju,conjunction,@@@whether or not@@@,,universal connective,,,,,JA,yes,connective,,whether or not,,,logical connective: tanru-internal afterthought whether-or-not,ju,"
'''ju''' <small>[conjunction]</small> — @@@whether or not@@@
:'''i ei zukte i ju le mi'u nanmu cu klama''' — ''Let's do it whether or not he comes.''",ju,conjunction,@@@whether or not@@@,,universal connective,,,,,JA,yes,connective,,whether or not,,,,,,
,---,ja'ei,,@@@{la'e} [sumti]' is the same as '[sumti] ja'ei@@@,tu'a:jai::la'e:ja'ei. So ko'a ja'ei broda equals la'e ko'a broda,,,,,,JAI,needed?,,,,,,jai equivalent of la'e,,---,ja'ei,,@@@{la'e} [sumti]' is the same as '[sumti] ja'ei@@@,tu'a:jai::la'e:ja'ei. So ko'a ja'ei broda equals la'e ko'a broda,,,,,,JAI,needed?,,,,,,,,,
jai,"
'''jai''' <small>[1st meaning]</small> — Splits a clause into &quot;some noun + {cu} {jai}&quot; and &quot;{fai} {lo} {ka}+the rest of the clause&quot;
:'''i lei ckiku cu jai nandu fai lo ka se zvafa'i i va'i lo nu zvafa'i lei ckiku cu nandu''' — ''The keys are hard to find. In other words, to find the keys is difficult.''
:'''i lo bangu cu jai nandu i lo bangu cu jai nandu fai lo ka cilre fi ce'u''' — ''Languages are difficult. Languages are difficult in learning things about them.''
:'''i ko cusku lo jai se djica be do''' — ''Say what you want.''
:'''i do ro roi cusku lo jai nandu be fai lo ka jimpe fi ce'u''' — ''You always say something hard to understand.''
:Comment: {lei ckiku cu jai nandu} - not keys themselves are hard but e.g. finding them is hard. {lo bangu cu jai nandu} - not languages themselves can be difficult but e.g. learning things related to them is difficult like in the example.",jai,1st meaning,Splits a clause into &quot,some noun + {cu} {jai}&quot, and &quot,{fai} {lo} {ka}+the rest of the clause&quot,,{lei ckiku cu jai nandu} - not keys themselves are hard but e.g. finding them is hard. {lo bangu cu jai nandu} - not languages themselves can be difficult but e.g. learning things related to them is difficult like in the example,,,,,,JAI,yes,,,,,,convert tense/modal (tagged) place to 1st place, 1st place moves to extra FA place (fai),jai,"
'''jai''' <small>[1st meaning]</small> — Splits a clause into &quot;some noun + {cu} {jai}&quot; and &quot;{fai} {lo} {ka}+the rest of the clause&quot;
:'''i lei mi'u ckiku cu jai nandu fai le ka se zvafa'i i va'i le nu zvafa'i lei mi'u ckiku cu nandu''' — ''The keys are hard to find. In other words, to find the keys is difficult.''
:'''i le bangu cu jai nandu i le bangu cu jai nandu fai le ka cilre fi ce'u''' — ''Languages are difficult. Languages are difficult in learning things about them.''
:'''i ko cusku le jai se djica be do''' — ''Say what you want.''
:'''i do ro roi cusku le jai nandu be fai le ka jimpe fi ce'u''' — ''You always say something hard to understand.''
:Comment: {lei ckiku cu jai nandu} - not keys themselves are hard but e.g. finding them is hard. {lo bangu cu jai nandu} - not languages themselves can be difficult but e.g. learning things related to them is difficult like in the example.",jai,1st meaning,Splits a clause into &quot,some noun + {cu} {jai}&quot, and &quot,{fai} {lo} {ka}+the rest of the clause&quot,,{lei ckiku cu jai nandu} - not keys themselves are hard but e.g. finding them is hard. {lo bangu cu jai nandu} - not languages themselves can be difficult but e.g. learning things related to them is difficult like in the example,,,,,,JAI,yes
jai ,"
'''jai ''' <small>[2nd meaning]</small> — Some noun + {jai} + some preposition take the first place of the main verb. The old first place can be expressed with the case marker {fai}
:'''i mi jai gau farvi fai pa proga i va'i pa proga gau mi farvi''' — ''I develop a program. In other words, with me as the agent a program develops.''",jai ,2nd meaning,Some noun + {jai} + some preposition take the first place of the main verb. The old first place can be expressed with the case marker {fai},,,,,,,JAI,yes,,,,,,convert tense/modal (tagged) place to 1st place, 1st place moves to extra FA place (fai),jai ,"
'''jai ''' <small>[2nd meaning]</small> — Some noun + {jai} + some preposition take the first place of the main verb. The old first place can be expressed with the case marker {fai}
:'''i mi jai gau farvi fai pa proga i va'i pa proga gau mi farvi''' — ''I develop a program. In other words, with me as the agent a program develops.''",jai ,2nd meaning,Some noun + {jai} + some preposition take the first place of the main verb. The old first place can be expressed with the case marker {fai},,,,,,,JAI,yes,,,,,,,,
ce'o,"
'''ce'o''' <small>[conjunction]</small> — @@@and then ...@@@ (forms ordered sequence)
:'''i li pa ce'o li re ce'o li ci cu porsi''' — ''1,2,3 is a sequence.''
:Comment: joins nouns to create a new noun of ordered group type.
:Related words: {ce}, {je}, {e}",ce'o,conjunction,@@@and then ...@@@ (forms ordered sequence),joins nouns to create a new noun of ordered group type,universal connective (non-logical),"{ce}, {je}, {e}",,,,JOI,yes,connective,,and then ...,,,"non-logical connective: ordered sequence link; and then, forming a sequence",ce'o,"
'''ce'o''' <small>[conjunction]</small> — @@@and then ...@@@ (forms ordered sequence)
:'''i li pa ce'o li re ce'o li ci cu porsi''' — ''1,2,3 is a sequence.''
:Comment: joins nouns to create a new noun of ordered group type.
:Related words: {ce}, {je}, {e}",ce'o,conjunction,@@@and then ...@@@ (forms ordered sequence),joins nouns to create a new noun of ordered group type,universal connective (non-logical),"{ce}, {je}, {e}",,,,JOI,yes,connective,,and then ...,,,,,,
fa'u,"
'''fa'u''' <small>[conjunction]</small> — @@@and respectively ...@@@ (forms unmixed set)
:'''i zmadu fa'u mleca fi lo ka sampu fa'u lo ka drani''' — ''It's more easy and less correct, respectively.''",fa'u,conjunction,@@@and respectively ...@@@ (forms unmixed set),,universal connective (non-logical),,,,,JOI,yes,connective,,and respectively ...,,,non-logical connective: respectively, unmixed ordered distributed association,fa'u,"
'''fa'u''' <small>[conjunction]</small> — @@@and respectively ...@@@ (forms unmixed set)
:'''i zmadu fa'u mleca fi le ka sampu fa'u le ka drani''' — ''It's more easy and less correct, respectively.''",fa'u,conjunction,@@@and respectively ...@@@ (forms unmixed set),,universal connective (non-logical),,,,,JOI,yes,connective,,and respectively ...,,,,,
jo'e,"
'''jo'e''' <small>[conjunction]</small> — forms union of sets
:'''i e'o doi io lo ninmu jo'e lo ctuca ko cliva le kumfa''' — ''Respected women and teachers, please, leave the room.''",jo'e,conjunction,forms union of sets,,universal connective (non-logical),,,,,JOI,yes,connective,,,,,non-logical connective: union of sets,jo'e,"
'''jo'e''' <small>[conjunction]</small> — forms union of sets
:'''i e'o doi io le ninmu jo'e le ctuca ko cliva le mi'u kumfa''' — ''Respected women and teachers, please, leave the room.''",jo'e,conjunction,forms union of sets,,universal connective (non-logical),,,,,JOI,yes,connective,,,,,,,,
